row,reason,detail
0,text-too-long,1312 words
1,duration-hint-out-of-range,604.00s
2,text-too-long,1176 words
3,text-too-long,1073 words
6,text-too-long,3566 words
9,duration-hint-out-of-range,640.00s
10,text-too-long,1372 words
11,text-too-long,2341 words
13,text-too-long,698 words
14,text-too-long,3989 words
16,text-too-long,1101 words
17,text-too-long,851 words
18,text-too-long,1911 words
19,text-too-long,1091 words
21,text-too-long,1797 words
22,text-too-long,4426 words
23,text-too-long,625 words
25,text-too-long,1932 words
28,text-too-long,1148 words
29,text-too-long,853 words
30,text-too-long,751 words
34,text-too-long,3730 words
35,duration-hint-out-of-range,606.00s
36,text-too-long,835 words
37,text-too-long,2782 words
39,text-too-long,2039 words
40,text-too-long,1768 words
41,text-too-long,2846 words
42,text-too-long,1730 words
46,text-too-long,562 words
47,text-too-long,1751 words
48,text-too-long,792 words
49,duration-hint-out-of-range,614.00s
51,text-too-long,1060 words
54,text-too-long,2148 words
56,text-too-long,3114 words
57,text-too-long,874 words
58,text-too-long,1558 words
59,text-too-long,1711 words
60,duration-hint-out-of-range,617.00s
61,text-too-long,1904 words
62,text-too-long,1343 words
63,text-too-long,2494 words
64,text-too-long,4183 words
65,text-too-long,947 words
66,text-too-long,711 words
67,text-too-long,2376 words
68,duration-hint-out-of-range,638.00s
72,duration-hint-out-of-range,650.00s
73,duration-hint-out-of-range,616.00s
74,text-too-long,1473 words
75,text-too-long,2544 words
76,duration-hint-out-of-range,616.00s
77,text-too-long,2625 words
78,text-too-long,1278 words
79,duration-hint-out-of-range,605.00s
80,text-too-long,1178 words
81,duration-hint-out-of-range,644.00s
82,text-too-long,3327 words
83,text-too-long,1071 words
84,duration-hint-out-of-range,656.00s
85,text-too-long,557 words
86,text-too-long,2218 words
88,text-too-long,1127 words
89,text-too-long,2855 words
90,duration-hint-out-of-range,630.00s
91,text-too-long,3048 words
93,text-too-long,1616 words
94,text-too-long,1198 words
95,text-too-long,1409 words
96,text-too-long,1079 words
98,text-too-long,1261 words
100,text-too-long,1614 words
101,text-too-long,729 words
106,duration-hint-out-of-range,629.00s
108,text-too-long,2267 words
110,duration-hint-out-of-range,610.00s
111,text-too-long,717 words
113,text-too-long,2733 words
114,duration-hint-out-of-range,601.00s
116,text-too-long,2670 words
117,duration-hint-out-of-range,603.00s
118,duration-hint-out-of-range,631.00s
119,text-too-long,589 words
121,text-too-long,3510 words
125,text-too-long,2294 words
126,text-too-long,668 words
129,text-too-long,2913 words
