row,reason,detail
192,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
54,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
163,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
105,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
170,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
138,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
69,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
57,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
36,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
61,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
118,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
131,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
155,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
26,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
83,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
139,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
172,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
120,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
18,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
4,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
23,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
52,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
104,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
161,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
101,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
115,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
27,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
142,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
77,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
66,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
85,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
156,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
146,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
130,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
60,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
25,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
80,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
50,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
33,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
173,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
32,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
2,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
49,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
16,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
59,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
196,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
92,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
78,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
162,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
48,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
67,materialize-or-sanity-failed,yt-dlp is not installed; rerun without YouTube sources or install yt-dlp
